2014/11/06 14:35:15 [error] 2398#0: *3 directory index of "/river/srv/www/pycov/html/" is forbidden, client: 192.168.1.100, server: , request: "GET / HTTP/1.1", host: "192.168.1.90:8000"
2014/11/06 14:35:15 [error] 2398#0: *3 open() "/river/srv/www/pycov/html/favicon.ico" failed (2: No such file or directory), client: 192.168.1.100, server: , request: "GET /favicon.ico HTTP/1.1", host: "192.168.1.90:8000"
2014/11/07 10:27:38 [error] 906#0: *1 open() "/river/srv/www/pycov/html/favicon.ico" failed (2: No such file or directory), client: 192.168.1.100, server: , request: "GET /favicon.ico HTTP/1.1", host: "192.168.1.90:8000"
2014/11/07 11:39:29 [error] 906#0: *56 directory index of "/river/srv/www/pycov/html/" is forbidden, client: 192.168.1.100, server: , request: "GET / HTTP/1.1", host: "192.168.1.90:8000"
2014/11/07 19:46:21 [error] 904#0: *273 open() "/river/srv/www/pycov/html/favicon.ico" failed (2: No such file or directory), client: 192.168.1.100, server: , request: "GET /favicon.ico HTTP/1.1", host: "192.168.1.90:8000"
2014/11/07 22:56:47 [error] 904#0: *290 open() "/river/srv/www/pycov/html/favicon.ico" failed (2: No such file or directory), client: 192.168.1.100, server: , request: "GET /favicon.ico HTTP/1.1", host: "192.168.1.90:8000"
2014/11/10 22:53:48 [error] 904#0: *363 open() "/river/srv/www/pycov/html/favicon.ico" failed (2: No such file or directory), client: 192.168.1.100, server: , request: "GET /favicon.ico HTTP/1.1", host: "192.168.1.90:8000"
2014/11/10 23:52:27 [error] 904#0: *390 open() "/river/srv/www/pycov/html/favicon.ico" failed (2: No such file or directory), client: 192.168.1.100, server: , request: "GET /favicon.ico HTTP/1.1", host: "192.168.1.90:8000"
2014/11/13 02:37:21 [error] 861#0: *3 open() "/river/srv/www/pycov/html/favicon.ico" failed (2: No such file or directory), client: 192.168.1.100, server: , request: "GET /favicon.ico HTTP/1.1", host: "192.168.1.90:8000"
2014/11/13 11:50:49 [error] 861#0: *9 open() "/river/srv/www/pycov/html/favicon.ico" failed (2: No such file or directory), client: 192.168.1.100, server: , request: "GET /favicon.ico HTTP/1.1", host: "192.168.1.90:8000"
2014/11/13 15:36:23 [error] 859#0: *14 open() "/river/srv/www/pycov/html/favicon.ico" failed (2: No such file or directory), client: 192.168.1.100, server: , request: "GET /favicon.ico HTTP/1.1", host: "192.168.1.90:8000"
2014/11/14 15:37:58 [error] 856#0: *7 open() "/river/srv/www/pycov/html/favicon.ico" failed (2: No such file or directory), client: 192.168.1.100, server: , request: "GET /favicon.ico HTTP/1.1", host: "192.168.1.90:8000"
2014/12/11 15:20:58 [error] 931#0: *2 open() "/river/srv/www/pycov/html/favicon.ico" failed (2: No such file or directory), client: 192.168.1.100, server: , request: "GET /favicon.ico HTTP/1.1", host: "192.168.1.90:8000"
2015/01/15 11:24:18 [error] 918#0: *24 open() "/river/srv/www/pycov/html/favicon.ico" failed (2: No such file or directory), client: 192.168.1.100, server: , request: "GET /favicon.ico HTTP/1.1", host: "192.168.1.90:8000"
